Number	English	Tw	Nd	Ke	WP	Bl	Ad	Kl	Ki	Ab	Km	Sw	We	pAP	
179	slave	uy gusoygusoy waal	wa'an gititi	jonggos	kola	oho gaiŋ		məlɛi	"gur ('laki-laki'), mará ('perempuan')"	maija	maai	gamaddu	melai	-	
		0	1	2	3	4		5	7	7	7	8	5		
181	dog	yifar	bar	ibar	yabbe	jabar	bεl	kʊr	kur	kai	kui	katu	kutuwal	-	
		0	3	0	0	0	4	1	1	1	1	2	2		
182	pig	bai	bei	bey	bai	be	bi	beeʔ	bei	fe	pee	pi	pei	*bai	
		0	0	0	0	0	0	0	0	0	0	0	0	0	
183	chicken	saxa	deyan	siaq	suake	haŋi	hiu	hi	sei	ruo	sube	sɛ	sekok	-	
		0	1	2	2	2	4	4	4	5	6	8	7		
184	rat	dur	dur	dur	di	duru	du:l	dʊr	dur	rui	tui	daru	durki	*dur	
		0	2	0	0	0	1	0	0	0	0	0	0	0	
186	civet cat	xraw	"alísi (cf., lísi 'crocodile, monitor lizard')"	orow	lau	ró	"alumanεmε (lit, 'good smelling deer')"	aru'	aruk	ayo	laku	aruwaaka	luku	*haraw	
		0	1	0	2	0	0	0	4	0	4	0	5	0	
188	frog	mauqubar		mau xubar	halia maro'o	motó	upapaʔ	eipek	ek tamudak	jakorakora	takabau	werpaak	ol tuktuk (worded 'sj. katak besar)	-	
		0		10	1	2	3	4	5	6	7	8	9		
189	bat	mədi	marra	merei	"kalór, madde"	demél		mdel	madél	mare	matei	madi:ku	muduk	*madel	
		0	2	3	0	0		0	0	0	0	4	1	0	
190	tail	goor	gola	gor	geku	orá	oloʔ	gorəkɛi	gor	haˈwai (also ‘to return something’)	-wui	giwoora	wori	*-or(a)	
		0	0	0	1	0	0	0	0	2	0	0	0	0	
191	fish	xaf	aafi	ab	hap	aab	a:b	əbi	eb	afu	api	api	api	*hab	
		0	0	0	0	0	0	0	0	0	0	0	0	0	
192	shark	sifar	sifi	sibar	sibbu	hibír	tabɛi	be’ebi	sobór	kasuwai	anee		molos	-	
		0	0	0	0	0	2	6	0	3	4		5		
193	whale	isaperan	sifi		perung	kəláru	"usaha, perunsah"	be’ebi	nyoung	kasuwai	anee		anai	-	
		0	1		2	3	4	5	6	7	8		8		
195	crocodile	baxai	lísi	bagay	bagai	bápa	baʔai	bəgɑi	buai	fahai	piee	waawa	wawa	*bagai	
		0	1	0	0	2	0	0	3	0	0	4	4	0	
196	monitor lizard	xaris	lísi	iris	hiddis	ri	ʔalεhεʔ	wreh	ros	liti	wulet		roti	*haris	
		1	1	1	3	1	1	1	1	0	0		1	1	
197	starfish		yiva koya tagami	-		-			tan ibra		--		temá laling	-	
			0						1				2		
198	turtle	yer kua	yalaw	yirko	yiakau	jar obó		yeko	dawan	youko	yokee	iruwaaka	urak	-	
		0	2	0	0	3		1	4	0	0	5	6		
200	bird	dei	daya	duum	re	wuul	hiu walεwεŋ	hɪʔɪdom	adol	ruo haling tama	atoi	adala	adol gateng kurusi ('cakar burung')	*(a)dol	
		6	6	1	2	3	4	5	6	6	6	6	6	6	
201	wing	getar	gata'a	guat	gaddur	abát	awitiŋ	gɑmbɑl	gabakar	haˈbakai	-pata		bebitir	-	
		0	0	2	3	4	5	6	7	7	4		9		
203	horn	gedexun	gəriang	gumuk	garige	omú	ʔamuʔu	gəmʊk	gamuk	haˈmuk	-muu		gebukur	*-muk	
		0	1	2	3	2	2	2	2	2	4		5	2	
204	snake	daam	daama	damung	duang	dumiŋ	mon	mɔɔn	mon	mon	kume	sipeali	munu	-	
		0	0	1	0	1	2	2	2	2	3	4	2		
205	scorpion	par	goldaka (also 'shark'ʔʔ)	par	par	per	pay	par	per	pei	fal		perbuk	*pVr	
		0	1	0	2	0	0	0	0	0	0		0	0	
206	egg	gətov	(siyaqa) gatay	gotoqi	riaku	eʔdua	(hiu) do	ədɑŋ	ro	ruo bira	-waa	waala	soal	-	
		0	1	2	3	4	4	5	6	4	7	7	8		
207	earthworm	otar	tunigasi	dungkalaing	arati	duka(ŋ)laliŋ	i:b 'worm'	dəlɪkwɛi	i palá	anei takoi	asingkuai	kispaak	kespak	-	
		0	1	2	3	2	4	5	6	7	8	9	9		
208	butterfly	waxa	qaxa'o	qoqo	laubbar	kaililiŋ	popou	wǝlér	tamakowa	kupak	kupaita	takokopaala	bemberlak	-	
		0	1	1	2	3	4	5	6	7	8	9	10		
209	fly (n.)	ufar	yiifu	ubar	hibbi	vavar	liboŋ	blel	yoboi	fungfai	bilewei	liwar	buler	-	
		0	0	0	0	2	3	4	5	6	4	7	8		
210	mosquito	"kiin, ki'in"	kimbalu	king	hissing	kinit	ʔin	ikin	kin	kuima	afising	kaweeŋ	kubung	-	
		0	1	0	3	4	0	0	0	5	6	7	8		
211	ant	tarexen	mur	iriking	karé	kəré	"lεʔiliŋ 'small red ant, iliwei 'large black ant' "	"iqilin (small), nbut, nkab (big red), nrik (smallest), unanawai (large black)"	butur	fikei	kakising	"klanglangur (small black quick), sakiila"	kusing	-	
		0	1	2	3	4	5	11	6	8	8	9	10		
212	grasshopper	ow	o	ow	au	kabét	ha:nu	tkeet	sokman	tunui	be	akiki (locust)	betkol	-	
		0	0	0	0	1	2	3	4	2	6	7	8		
213	spider	bangkow (bangkopʔʔ)	qaxava	kakaranga	kar labbang	kəráŋa	ʔalεŋ	nwak	takal malai	bala-bala	"karokaa, taapkirii"	"tangkibeang (small), bubunik (large)"	tangkabeber      (buinunuk)	-	
		0	1	2	3	2	2	5	6	7	8	9	10		
214	headlice	ku'aan	kung	kuwang	kar kassi	kubaŋ	ʔony	əkoin	kon	bikiang	bini	inaaŋ	unang	-	
		0	0	0	1	2	0	0	0	4	5	6	6		
215	louse eggs	xarin	ring	iring	lidding	delíŋ	fadin	akuinj ge adang	kon ro	bikiang tulung	bini waa		unang gea	-	
		0	1	0	2	2	5	6	7	8	9		10		
217	flea	xat	bar beg		"sippe, katí"	təméla	bεl ʔutu	akuinj ge adang	kur kot	tukota	sikoo		toko'	-	
		0	1		8	2	3	4	8	6	7		7		
218	"louse, clothing"	o'	eggah	uwa'	ai	bee	nεlε	or	patai	be	sikoo			-	
		0	1	0	2	3	4	5	6	7	8				
219	bedbug	may	maya	temek	maddu	temé			e	"tameak, ne-tameak"	lawa		mekit	*temek	
		0	0	1	2	1			3	1	4		1	1	
220	bite 	si	cia	sii	gassi	gaki	(bεl) ʔihi	gɛh	(kur) ges	take	-eh	gapaati	mikik / gadipasi	*asi	
		0	0	0	0	1	0	0	0	1	0	2	3	0	
221	to bark 	goxo'	toy	toga'	lau	veŋloti	lowoʔ		(kur) lungun	lou	auu	lu	aloi	*lVV	
		1	2	1	0	3	0		4	0	6	0	0	0	
222	to hunt	gətiyar	ilaafi	ira'po	ala gallang	(veŋ)sow	arlili	kɔɔr	peteri	"(kai) hatang, ha-tang"	-oi		milakal	-	
		0	1	1	1	4	5	6	7	8	9		10		
224	shoot with slingshot	gəfakat	pasaqqo	gapakis	pasakkung	kartapel			gaboit	"ha-tek, na-tek"	-tfa		katapel wong legataing	-	
		0	1	2	2	4			5	6	7		8		
225	to hit	gəwa'	bugi	kuupo	gakkang	meaŋ	bihiʔ	kob	bles	"bol, ne-bol ‘hit me’"	bona	"woo, gapunni"	gepoing	-	
		0	1	2	3	4	5	6	7	8	9	10	10		
226	to pound	təmuduk	saadu	tapo'	tappang	tápa	ta:paŋ	tpan	gatumba	tape	wotafe		"tumu ('berkelahi'), arak ta ('tumbuk padi')"	*tap(a)	
		0	1	2	2	2	2	2	3	2	2		4	2	
227	hit (drum)	"(pa'an) bah 'hit (drum), (bui) tag 'hit (long drum), (goon) bah 'hit (gong)', puah 'drum stick'"	tufi (geeta) (geeta 'long drum')	gedengar	(bi) taggang	(na) oda	Od	pedeng kup	(padangin) gor	padang huwor	wota		wodo	-	
		0	1	2	0	3	3	4	3	3	3		3		
228	to kill	gafar	gafala	gabar	gaddi hinna	"teŋ meaŋ mina (lit., ‘person hit die’)"	aminiʔ (CAUS-die)	gəbɛr	gabarin	"faheng, ne-faheng"	paan	gapi garammu	gepai gapang	-	
		0	0	0	1	2	3	0	0	4	4	5	4		
229	to live	bangan	banga	waat	awa	beta	wεcεŋ	iɛs	on noka	na-re ‘I live’	-ng kang	ganiiri keana	genirkang	-	
		0	0	1	2	3	1	4	5	6	7	7	7		
230	to breathe	xaqa'	ixing	supang	hopang	hopaŋ	haʔan	əkɑnbəlɪn	kinsel	ahel	-king pil	gakiiŋ	tiking sasai	-	
		0	0	1	2	1	3	4	6	5	6	6	6		
231	to die	min	minna	nimino	hinna	mina	miniʔ	əbɛr	min	mong	"-bora, ipaa"	garammu	gapang	*min(V)	
		0	0	0	1	0	0	2	0	0	3	4	5	0	
232	to speak	wultag		wan tutuk	birang	tutuk	matiŋ	huhʊɪh	busar	tanga	kawaai	tatuku	lomo tutuku	*tutuk(u)	
		0		1	2	8	3	4	5	6	7	9	10		
234	word	traaw		sur	ber	hur ‘language’	"matiŋ paʔa ''one word', kadada 'chat', mapi kadada 'lets chat' "	busar	lako	tanga	lak	tiila	lomo iko	-	
		0		1	2	1	3	4	5	6	5	7	8		
235	call out	exer	uwara	"taqasi, taqero 'shout at person'"	kor bari	gáreŋ	lowi	"bee, krui, mluk, pak"	eek	ir	iti	kawa	wai mereki	-	
		0	1	0	2	3	4	5	6	7	7	8	9		
236	to laugh	yəxar	gela	agaro	yali	yaar	asala	əgɑr	yeri	"taˈlal, na-lal ‘I laugh’"	yeei	yara	yer	*yari	
		0	0	0	1	1	1	0	1	2	1	1	1	1	
237	to cry	kiid	kiaru	baago	halli	bow	ʔahany	wiir	bir	fel	tanei	kiiri	koo	-	
		0	1	2	3	2	4	5	6	7	8	9	10		
238	to dance	"soxai taxar, wan emelan"	"daala, soi"	suqai 'lego-lego'	sauke	"dári ‘lego-lego’, sarsumba ‘dance’"	"sεbεʔε (for women), neikOli: (for men), masay 'lego-lego dance'"	tʊn	towen	tahaijok	pilan	siika	sakalel	-	
		0	1	0	0	2	3	4	4	5	6	7	8		
239	to sing	daar	pantung	gemeelo	dali	dar hóy	da:la	ilpənɛn	dar	jai wetanga	pilan	dara	dra	*dar	
		0	1	2	0	0	0	3	0	4	5	0	0	0	
240	lie (tell untruth)	poon yaxai	akalici	akal	birang yasa	léko	kaluwi	"borbak, nal, tatal, tina aak"	lako sola	"okoli, edo okoli ‘you lie’"	alil wee		lbur	-	
		0	1	1	2	1	1	5	1	1	6		7		
241	ask (question)	gergan	tiyani	takani	tagang	ventániŋ	ʔatana	"tang, tkein, "	gatangan	tatahang	eisin	saraang	lesebi	-	
		0	1	2	3	1	1	1	1	4	5	6	7		
242	to count	tag	taya	tego	taggang	rekeŋ	taʔana (also 'read')	gəlɪk	galeki	halakda 	galek	galiiki	geleki	-	
		0	1	0	0	2	0	4	4	4	4	4	4		
243	one	nuk	nuku	nuko	"anuku, ye"	nu	nu	nʊk	nuku	nuku	nok	sundaŋ	no	*nuk	
		0	0	0	0	0	0	0	0	0	0	1	0	0	
244	two	raq	raku	raxo	alaku	aru	a:lu	ərʊk	oruku	ayoku	ok	yaku	yoku	*araqu	
		0	1	0	0	0	0	0	0	0	2	3	4	0	
245	three	yerig	sagu	utug	atiga	tue	towo	toŋ	siwa	suo	su	tuo	tu	-	
		0	1	2	2	2	5	6	7	8	9	9	9		
246	four	uut	utu	ut	atu	butá	wut	ʊt	usa	buti	biat	araasiiku	arasoku	-	
		0	0	0	0	1	0	0	2	4	5	3	3		
247	five	yusan	yisin	isin	yasing	yisiŋ	iwεhεŋ	əwəh	yesan	yeting	iwesing	yootiŋ	weting	*yiwesin	
		0	0	0	0	1	0	0	0	0	0	0	0	0	
248	six	tiaam	tiama	tiam	hisnakkung	taliŋ	ta:laŋ	təlɑn	talama	taˈlama	isingnok	yooyiŋsuno	weting nung	*talam	
		4	4	4	1	0	0	0	0	0	2	3	2		
252	ten	qar nuk	qa nuk	xar nuko	keanuku	arnu	airnu	kɑrənʊk	karnuku	kar nuku	ataak	adaaku	adayoku	-	
		0	0	0	0	0	2	0	0	3	4	4	4		
253	eleven	qaar nuk rug nuk		xar nuk beti nuko	keanuku wali ye	ar nu betal nu	airnu waliŋu	up kar nuk wa nuk	karnuk wail nuku	kar nuk wal nuku	waal		adayoku weresing no	-	
		0		1	2	1	2	3	2	2	2		5		
263	one hundred thousand 		salaka nuku 		sanlak	salák ‘one million’	rib ratnu		ribasaganuku	rifi ajsaha nuku			ribu askano	-	
			0		1	2	3		4	5			6		
264	big	waad	ada	waado	ara	le	ma:ti	ɑɑl	batakel	foko	baai	waansa	pidasi	-	
		0	1	0	2	3	4	5	6	7	8	9	10		
265	small	sam	samma	kiki	kalla	kodduk	kaʔai	kɛkɛin	kadín	kiding	kiding	pike	murung	-	
		0	0	1	2	3	1	1	6	7	8	9	10		
266	"old, worn"	ana'	tulagi	ugam	kassa	luŋ	ʔεmε	məlot	(ou) malota	(tofa) makila	farata	makiila	lmang	-	
		0	1	2	3	4	5	6	6	7	8	7	9		
267	new (house)	wudesin	sava'a	sibo	sabi'a	hiba	habaraʔ	həbɑɑ	(ou) saba	(tofa) tifa	supaka	tipea	tpa	*sabia	
		0	1	1	1	1	1	1	1	1	1	1	1	1	
268	old (people)	keri 'old man'	bamma (old man)	boom 'old man'	"madda, wenang 'old man'"	boma ‘old man'	tumaʔa	kulwɪn	kakaleta	fingkang	saak	saaku	saku	-	
		0	1	1	2	1	3	4	5	6	7	8	9		
	old woman	quaf	bamala (old woman)	qalam 'old woman'	kuba	meet ‘old woman’	tumaʔa	kulwɪn	kakaleta	fingkang	saak	saaku	saku	-	
		0	1	2	0	4	5	6	7	8	9	10	11		
269	young (people)	boog	bogga	kunang	bogga	"kuar ‘young man’, jauŋ kenewiŋ ‘young woman’"	"awololo 'young man', lawata 'young woman'"	boŋhɛp	"kabol manak, mei manak"	abeti	"fon, lutei"	pulara	seper	-	
		0	1	2	0	3	4	5	6	7	8	9	10		
270	lazy	gaxduk	qaviyaqa	muut	massa	pəloit	"maraʔan (more permanent), lahunu 'lazy' (less permanent, as someone who has already worked, but feels lazy to work more)"	"klem (adj), knoh (noun)"	kalikin	ˈkiliki	mi- -kailan	daalang	dalang	-	
		0	1	2	3	4	5	6	7	7	9	10	10		
271	hot	og	agga	waar	tawaka	bára	buniʔ	tut	sanama	ˈlila	beba	emala	tutung	-	
		0	1	2	3	4	5	6	7	8	9	10	11		
272	cold	qi'aw	maxavu	qaiwo	maba	jevi	maʔab	məhɪŋ	"kabuk, palata"	palata	faatei	wiri	wir	-	
		0	0	0	1	0	1	3	4	5	5	6	6		
273	good	qaw	qawa	xowo	akku	auŋ	noʔo	nok	noka	kang	kang	kaaŋ	kang	-	
		0	0	0	5	5	4	4	4	5	5	5	5		
274	bad	yaas	yeci	yaaso	yasa	jasi	"ariʔiŋ, saha 'broken', noʔo daŋ 'not good'"	mʊjɑh	noka nanga	beaka	boko	yaati	boli	*yasi	
		0	0	0	0	0	0	2	3	4	4	0	5	0	
275	full	wal	walla	guali	hawaya	meviŋ	wutulu	umii	awei	vemidi	awila	"tutiwo, saaba"	awe	-	
		0	0	0	1	2	3	4	5	6	0	7	5		
276	empty	hasak		isik	hakkas	osiŋ		ikʊh	marés	taka	saka	siira		*hasak	
		0		0	0	1		2	3	0	0	4		0	
277	wet	qalo'	maleca	xolo	hubba	menésa	"har (also 'fall, as a ripe fruit')"	jɛl	rik	joka	parang	pareekaŋ	yeres	-	
		0	1	11	2	3	4	5	6	7	8	9	10		
278	dry	siis	cici	siso	sisa	táta	taʔata	təkɑt	takata	takata	auka	aruko	aruk	-	
		3	3	3	3	0	0	0	0	0	2	1	1		
279	long	tiyan	tenu	lelum	tiana	véniŋ	low	lɑɑŋ	naban	lohu	lapang	lamu	luimukul	-	
		0	0	1	0	2	3	4	5	6	7	8	9		
281	tall	aluxun	liawang	leso	butang	məlolu	lawen	"lang, odol"	gei naban	lohu	lapang	ayaang	eang	-	
		0	1	2	3	4	1	5	6	7	8	9	9		
282	short	tuk	tukku	tuko	tukka	tukaŋ	toʔoŋ	ʊʔʊr	tuk	bui	maruk	tukuda	tuk	*tuk	
		0	0	0	0	1	0	2	0	3	4	0	0	0	
284	hungry	nan tiyaq	hilling (he's hungry)	(tang) bili bai	tas massa 	tawan mənápal	malεhiŋ	"eleng, mdol"	malap	mirai	-maitang	-masin	tamsing	-	
		0	1	2	3	4	5	1	6	7	7	8	8		
286	light	wul	dia	wilo	diala	víla	filiŋ	blok	aya	sierai	liwang	"dalaang, ilo, madala"	eyakal	-	
		2	1	2	1	2	2	3	4	5	6	7	8		
287	dirty	blaqas	blaqqas	qaasi	ana	kərítak	karoʔo	mʊʊk	maakan	dakung	tini	makaŋ	makang	-	
		0	0	0	2	3	4	5	6	7	8	6	6		
288	clean	musuay	blela	sibo	lera	mulaŋ	maduluŋ	"abang 'clean for yard', baak 'clear, of grass', gnai, mhol, nai, "	nalin	sani	bila	ineali	inali	-	
		0	1	2	3	4	5	6	7	8	9	10	10		
289	sharp	maxan	maxang	magang	maggang	maŋ	hudiŋ	mɑŋ	mangan	bula	bising	madiiraŋ	plit	-	
		0	0	0	0	0	1	2	3	4	5	6	7		
290	blunt	pulu	itta	kumai	mukka	kumbul	kumuŋ	kʊm	toup	toping	bul	paka	pak	-	
		0	1	2	3	4	5	6	7	8	9	10	10		
291	heavy	suxur	sula	tamaado	sulla	təmádi	tarowi	təkor	sowora	tuhai	suu	tiyerra	tuwur	-	
		0	1	2	1	2	3	4	5	6	7	8	0		
292	light	wul		leero	diala	jára	filing	iwil	geloga	"falaka, weria ‘midday’"	seila	"ayaakal (light), seelara (very light)"		-	
		3		0	1	2	3	3	4	5	6	7			
293	straight	xana'	qunna	molo'	lamura	móloŋ	"abuluʔ 'straight, true'"	nəmʊt	dob	mulang	sol	"tiimu, loor"	lor	-	
		0	1	2	3	9	4	5	6	10	7	8	8		
294	wide	təlaag	adda (also large)	waado 	salala	lára	bεrεŋ	ɑɑl	aka	tilesing	sileising	padaakara	pedakar	-	
		0	1	2	3	3	4	5	6	7	7	8	8		
295	narrow	tabug	sama (also small)	tubugis	tapugi	kərúbo	kapuh	təpʊɪh	tadukun	karia	katina	"iwuto, takaataŋ"	iwuit	-	
		0	1	2	3	4	5	6	7	8	9	10	11		
296	correct	quun	qunna (also straight)	quuno	mita	etibí		ebeen	adobu	rofi	sol	"kaaŋ, taapi"	lor	-	
		0	0	0	1	2		3	4	5	6	7	8		
297	wrong	gəsay	təmici	gasaying	bekkang	hála	ʔahalaʔ		tabela	hasala	taweng	tabiila	tebel	-	
		0	1	2	3	4	5		6	7	8	9	10		
298	ripe	muban	kará	"yira, teno, xaro' 'cooked'"	dala	téna	"tεnε 'ripe, red'"	ətɛn	tain	sani	iten	itiina	lus merek	*ten	
		0	1	2	3	2	2	2	2	4	2	2	5	2	
299	rotten	muun	gamini	mino	"baratta, bulla"	misa	boni	mʊin	beik	hamuni	munta	tamasa	sikeng	*mun	
		1	1	1	2	3	4	0	5	0	0	3	7	0	
300	bitter	maxa'	miyara	maqo	ku minna	kamála	maʔalaʔ	mkal	makala	makali	makaa	makal	makal mukup	-	
		0	1	2	3	4	4	4	4	4	5	4	6		
301	sweet	wub	uba	maraaq	hige	teŋge	"dεlεwεŋ, manεmεʔ 'tasty'"	"dre, mel"	dalowan	ralong	ilakai	maalang	malang	-	
		0	0	1	2	3	4	5	4	4	5	6	6		
304	flat	hawan	esama	biiro	palaka	bira	haloi	bʊʊr	talola	taluola	silela	"kalata, tarisi"	lat teris	-	
		0	1	2	3	2	4	2	6	7	7	8	8		
305	smooth	sordax 'slippery'	bifi (slippery)	"ibayaran'smooth', iduyo 'slippery'"	duba	dúla ‘slippery’	duluʔ	duul	dula	rula	tulaka		terisi dolok	*dul- 'slippery'	
		0	1	2	3	2	2	2	2	2	2		2	2	
306	rough	sakar	"aradda (rough, of a person)"	sekakir	katáng-katáng	koŋkarkoŋkar	paluhu		dula nanga	ahoifang	aooba		potor	-	
		0	1	0	3	4	5		6	7	8		9		
307	thick	tu'um	ponuuta	pauso	dumma	pusi	tapaha	təpɛh	tapás	tapati	kusa	dumu	dum	-	
		1	2	5	0	5	4	4	4	4	3	0	0		
308	thin	taxal	seling	teki	re'e	teil	tiʔi		bol	foli	manih	manise	minis	-	
		0	1	2	3	2	2		4	4	5	6	7		
309	"sick, painful"	i'	lila	ii	tawaka	dira	modiʔ	"biir (sick), klik (hurt), mkal"	terík	"ha-rik, na-rik"	mat-	mate	medit	-	
		0	1	0	2	3	4	5	6	9	7	7	4		
310	"shy, ashamed"	arar	apala	eriyay	pali	"məníyaŋ, tawabilil"	malaʔ		manian	"ta-milelai, na-milelai"	-laita		neladi ('saya malu')	-	
		0	1	2	1	4	5		4	5	6		6		
311	black	qa'an	qana	xano	ana	kána	laʔanaʔ	ɑʔɑkɑn	akana	akani	dakata	akana	akeng	*aqana	
		0	0	0	2	0	0	0	0	0	1	0	0	0	
312	white	miyaq	miyaqa	miyeqo	miaka	məjá	wεlεʔ	ɑʔɑjɑl	bela	kuli	bila	siila	muruk	-	
		0	0	0	0	0	1	2	3	4	5	6	7		
313	red	ii'	i'i	ii	i'a	bibi	tεnε	kɪkik	ika	kik-	bika	ike	iki	-	
		0	0	0	0	1	2	3	4	3	5	4	4		
314	green	ajogar	weyaga weyaga	oyogi	haluaga	koakoá	leu	wəwɛlɛŋ	kalukul	walangai	waai	walaŋara	walar	-	
		0	1	2	3	4	5	6	7	8	9	8	8		
316	yellow	baxari	baxori	bagari	bugga	bóri	baʔoi	bʊbʊgɔr	bagura	adeʔsani	maleta	mareeka	merok	-	
		0	4	0	0	0	0	0	0	1	2	3	3		
318	deaf	guwar qulus	gola kwanga	qolus	kullu	kəmuke/kmuke	palaʔa	gəwɛrkəkʊi	gewel kakuil	"kuri, ha-wei beaka (lit., ‘ears not good’)"	uh	muko	neweri mokol	-	
		0	1	0	2	3	4	5	6	7	8	9	10		
319	to see	bəli	bili	lalo	ganiaka	teiŋ	dunuʔ	gəur	guui	"herei, da nerei ‘he sees me’"	-tak	gadea	gedir ('lihat dia')	-	
		0	0	1	2	3	4	5	10	9	7	8	9		
320	to hear	wuraq	watti	waati	haloapi	veŋ-me	ʔalεpεŋ	məgɪh	magí	mahia	-mai	mayiiŋ	lewosi	-	
		0	1	1	2	3	2	3	3	3	3	3	5		
321	to smell	gaxmin	gamini	gagam	tilli	"mimiŋ ‘smell’, miku ‘kiss’"	ʔumuniŋ	gəmoin	gumun	monungra	-musan	gamusa	muing	-	
		0	0	1	2	3	4	4	4	5	6	7	4		
322	to think	wago wan hom mai	amigraga	tomeyo	timbar	ukur	tanut	kirkir	kira-kira	tomipang	-king suuk	gawaawaŋ	newamal ('saya pikir')	-	
		0	1	2	3	4	5	6	6	7	8	9	10		
323	to know	wankruwan	kəlala	lalo	kalalang	veŋ-kruaŋ	ahOl	gɛl	magí	"nohiena ‘I know’, ohiena ‘you know’"	lak	gite	leteng	-	
		0	1	2	1	0	3	4	5	6	7	8	9		
324	dream	ayivar/wanjivar	va	ipar	hippe	yipár	pei	eper	punei	pieila	-foi		wormai	*hipar	
		0	1	2	2	2	2	2	3	4	2		5	2	
325	lie down	unti'	ta'a	tee	ti'ang	tiaʔ	"mopo, tara"	tɑɑ	"ta, ti mop migadobi"	ta	taa	gate	netai ('saya baring')	*tia	
		0	0	0	0	0	1	0	0	0	0	0	0	0	
325	lie down	unti'	ta'a	tee	ti'ang	tiaʔ	"mopo, tara"	tɑɑ	"ta, ti mop migadobi"	ta	taa	gate	netai ('saya baring')	*tia	
		0	0	0	0	0	1	0	1	0	0	0	0	0	
328	to wake s.o up	gosoy ilan tup	gətani	geteno	gatipping	aiŋ miar	ahowo tuhu	gətɛŋ	gamisi	nan haruda ‘I wake him/her up’	-tan	gapi gasire gamiti	geteing	*-ten	
		0	1	1	2	3	4	1	6	5	1	6	1	1	
329	sit	miis	misi	miso	mising	miŋ	mihiʔ	mɪh	misa	miti	nih	miti	amit	*mis	
		0	0	0	0	0	0	0	0	0	1	0	0	0	
330	stand	taas	tasi	taso	natar	tai	tohO	mətɛh	nasan	nate	latsi	dooka	atati (tetati 'kita berdiri')	*tas	
		0	0	0	1	0	0	0	2	3	4	5	0	0	
331	squat/crouch	tuku	lualang	toku	lukking	"kuku mudiŋ (lit., ‘knee plant’)"	"liʔiʔ, kukudut"		luk	luk ˈbo	duuh		lukuk	*luk(V)	
		0	1	0	2	3	4		2	2	5		2	2	
332	to walk	"tewar 'to walk', lam 'to follow'"	aya apa	amar	lama	lamar	lami	gɛpunlɑm	lak	"lak, lol"	"loo, maa"	loola	lailol	-	
		2	3	4	2	2	2	2	1	0	0	0	0		
332	to walk	"tewar 'to walk', lam 'to follow'"	aya apa	amar	lama	lamar	lami	gɛpunlɑm	lak	"lak, lol"	"loo, maa"	loola	lailol	-	
		2	3	4	2	2	2	2	1	1	0	0	0		
333	run	biir	biri	biiro	biring	bi	tεʔεŋ	təkɪn	taki	furei	tak	gamuri	nemur ('saya lari')	-	
		0	6	0	1	2	3	3	3	4	3	5	5		
334	swim	taran	talang	taro	tallang	tára	ʔur	urɛn	tantai	"teula, na-teula"	sai	se	sai	-	
		0	0	0	0	0	8	1	2	3	5	6	7		
335	fly	jiran	jila	jiro	hilang	líri	liliʔ	liir	lir	liʔ	lila	iriŋ	ire	*yira(n)	
		0	0	0	0	1	1	1	1	1	1	0	0	0	
336	fall (from above)	ba'	ba'a	ba sero	tasing	ba héra	mudi	mʊŋ	muk sei	"ditahai ‘fall from above’, da-kuila ‘fall’"	mu’tan	taani	taing	-	
		0	0	0	1	0	2	3	4	5	6	7	7		
337	fall over	taxa'	axoxi	taxa	baulung	"belí, lavák"	oloʔ	tkos	takoki	da-kuila	kok		podo	-	
		0	1	2	3	4	5	6	7	8	7		9		
338	to drop	ma moxod	mora	gabang	muggung	lolaŋ hera	amudi	nəgɑnukgəmuŋ	gatain sei	na haliéhai	mota	ligataani	gepai taing	-	
		0	1	2	3	4	1	6	7	8	1	10	11		
339	to bathe	wei	noya (I bathe)	tuweyo	-ulang	véla	wili (voiceless w)	nɛwɛl	weli	 da-wel	-wei	gawile	ira teweli	*weli	
		0	1	0	2	0	0	0	0	0	0	0	0	0	
341	to wash	wanbli	bugi (wash clothes)	wangwa	laming	naʔ bei	la:m	ɪluwɛl	utti	luok	sire	"saku, balasa"	lesi	-	
		0	1	2	3	4	3	5	6	7	8	9	10		
342	to cook	dau	dawa	na-dowo	tang migang	na doa	dowoʔ	ɑdɑpu	ar eri	made	taam	maaŋ	mad ira	-	
		0	0	0	1	0	0	2	3	4	1	5	4		
343	to drink	hufa'	wa'a	yir na	ba'ai	jar na	naʔ	nɑɑʔ	nai	buk˺  	ne	ganee	ira tenai	*nai	
		0	1	2	3	2	2	2	2	4	2	2	5	2	
344	to eat	ina	ina	na	na	na na	adiʔ	məhɑk	manám	ne	na	"ganee, gapaati, gapama"	tenai tepasi	*nai	
		0	0	0	0	0	1	2	3	0	0	0	0	0	
345	chew	krai	karaci	xrayo	gammu	mame	ʔoʔoŋ	umanain	umu tak	take	se		lemang	-	
		0	1	2	3	4	5	6	7	7	8		9		
346	to suck	pu'	duma	tubo	pu'ung	kənúmu	dutuʔ	modoih	duup	marek˺	mak	ganee	muduli	-	
		0	1	2	0	3	4	5	6	7	8	9	10		
348	to spit	puran	maliplum	purang	tuppung	puruŋ	"may, atamay 'saliva'"	pərʊin	puring	puina	supui	irumpakka (n)	uring kra	*purVn	
		0	0	0	1	0	2	0	0	0	0	3	4	0	
349	to vomit	jigar	kala'a	g-igir	kale'e	yída	wudi (voiceless w)	ɪŋ	karí	iu	-iwei		mokor	-	
