Number	English	Tw	Nd	Ke	WP	Bl	Ad	Kl	Ki	Ab	Km	Sw	We	pAP
205	scorpion	par	goldaka (also 'shark'??)	par	par	per	pay	par	per	pei	fal		perbuk	*pVr
206	egg	gətov	(siyaqa) gatay	gotoqi	riaku	eʔdua	(hiu) do	ədɑŋ	ro	ruo bira	-waa	waala	soal	-
207	earthworm	otar	tunigasi	dungkalaing	arati	duka(ŋ)laliŋ	i:b 'worm'	dəlɪkwɛi	i palá	anei takoi	asingkuai	kispaak	kespak	-
208	butterfly	waxa	qaxa'o	qoqo	laubbar	kaililiŋ	popou	wǝlér	tamakowa	kupak	kupaita	takokopaala	bemberlak	-
209	fly (n.)	ufar	yiifu	ubar	hibbi	vavar	liboN	blel	yoboi	fungfai	bilewei	liwar	buler	-
210	mosquito	"kiin, ki'in"	kimbalu	king	hissing	kinit	?in	ikin	kin	kuima	afising	kaweeŋ	kubung	-
211	ant	tarexen	mur	iriking	karé	kəré	"lE?iliN 'small red ant, iliwei 'large black ant' "	"iqilin (small), nbut, nkab (big red), nrik (smallest), unanawai (large black)"	butur	fikei	kakising	"klanglangur (small black quick), sakiila"	kusing	-
212	grasshopper	ow	o	ow	au	kabét	ha:nu	tkeet	sokman	tunui	be	akiki (locust)	betkol	-
213	spider	bangkow (bangkop??)	qaxava	kakaranga	kar labbang	kəráŋa	?alEN	nwak	takal malai	bala-bala	"karokaa, taapkirii"	"tangkibeang (small), bubunik (large)"	tangkabeber      (buinunuk)	-
214	headlice	ku'aan	kung	kuwang	kar kassi	kubaŋ	?ony	əkoin	kon	bikiang	bini	inaaŋ	unang	-
215	louse eggs	xarin	ring	iring	lidding	delíŋ	fadin	akuinj ge adang	kon ro	bikiang tulung	bini waa		unang gea	-
216	mother louse								kon	bikiang hea	--		kutu unang	
217	flea	xat	bar beg		"sippe, katí"	təméla	bEl ?utu	akuinj ge adang	kur kot	tukota	sikoo		toko'	-
218	"louse, clothing"	o'	eggah	uwa'	ai	bee	nElE	or	patai	be	sikoo			-
219	bedbug	may	maya	temek	maddu	temé			e	"tameak, ne-tameak"	lawa		mekit	*temek
220	bite 	si	cia	sii	gassi	gaki	(bEl) ?ihi	gɛh	(kur) ges	take	-eh	gapaati	mikik / gadipasi	*asi
221	to bark 	goxo'	toy	toga'	lau	veŋloti	lowo?		(kur) lungun	lou	auu	lu	aloi	*lVV
222	to hunt	gətiyar	ilaafi	ira'po	ala gallang	(veŋ)sow	arlili	kɔɔr	peteri	"(kai) hatang, ha-tang"	-oi		milakal	-
223	shoot	pedil	gali	masang	bloppa	tápa		mɑh	gaboit	ha-tek	-tfa	"taani, wusi"	legetaing	
224	shoot with slingshot	gəfakat	pasaqqo	gapakis	pasakkung	kartapel			gaboit	"ha-tek, na-tek"	-tfa		katapel wong legataing	-
225	to hit	gəwa'	bugi	kuupo	gakkang	meaŋ	bihi?	kob	bles	"bol, ne-bol ‘hit me’"	bona	"woo, gapunni"	gepoing	-
226	to pound	təmuduk	saadu	tapo'	tappang	tápa	ta:paN	tpan	gatumba	tape	wotafe		"tumu ('berkelahi'), arak ta ('tumbuk padi')"	*tap(a)
227	hit (drum)	"(pa'an) bah 'hit (drum), (bui) tag 'hit (long drum), (goon) bah 'hit (gong)', puah 'drum stick'"	tufi (geeta) (geeta 'long drum')	gedengar	(bi) taggang	(na) oda	Od	pedeng kup	(padangin) gor	padang huwor	wota		wodo	-
228	to kill	gafar	gafala	gabar	gaddi hinna	"teŋ meaŋ mina (lit., ‘person hit die’)"	amini? (CAUS-die)	gəbɛr	gabarin	"faheng, ne-faheng"	paan	gapi garammu	gepai gapang	-
229	to live	bangan	banga	waat	awa	beta	wEcEN	iɛs	on noka	na-re ‘I live’	-ng kang	ganiiri keana	genirkang	-
230	to breathe	xaqa'	ixing	supang	hopang	hopaŋ	ha?an	əkɑnbəlɪn	kinsel	ahel	-king pil	gakiiŋ	tiking sasai	-
231	to die	min	minna	nimino	hinna	mina	mini?	əbɛr	min	mong	"-bora, ipaa"	garammu	gapang	*min(V)
232	to speak	wultag		wan tutuk	birang	tutuk	matiN	huhʊɪh	busar	tanga	kawaai	tatuku	lomo tutuku	*tutuk(u)
233	to say		birang	tutuk	asang	tutuktutuk ‘chat’	ama	hʊɪh	lakari	tanga	--	tiila	lomo	
234	word	traaw		sur	ber	hur ‘language’	"matiN pa?a ''one word', kadada 'chat', mapi kadada 'lets chat' "	busar	lako	tanga	lak	tiila	lomo iko	-
235	call out	exer	uwara	"taqasi, taqero 'shout at person'"	kor bari	gáreŋ	lowi	"bee, krui, mluk, pak"	eek	ir	iti	kawa	wai mereki	-
236	to laugh	yəxar	gela	agaro	yali	yaar	asala	əgɑr	yeri	"taˈlal, na-lal ‘I laugh’"	yeei	yara	yer	*yari
237	to cry	kiid	kiaru	baago	halli	bow	?ahany	wiir	bir	fel	tanei	kiiri	koo	-
238	to dance	"soxai taxar, wan emelan"	"daala, soi"	suqai 'lego-lego'	sauke	"dári ‘lego-lego’, sarsumba ‘dance’"	"sEbE?E (for women), neikOli: (for men), masay 'lego-lego dance'"	tʊn	towen	tahaijok	pilan	siika	sakalel	-
239	to sing	daar	pantung	gemeelo	dali	dar hóy	da:la	ilpənɛn	dar	jai wetanga	pilan	dara	dra	*dar
240	lie (tell untruth)	poon yaxai	akalici	akal	birang yasa	léko	kaluwi	"borbak, nal, tatal, tina aak"	lako sola	"okoli, edo okoli ‘you lie’"	alil wee		lbur	-
241	ask (question)	gergan	tiyani	takani	tagang	ventániŋ	?atana	"tang, tkein, "	gatangan	tatahang	eisin	saraang	lesebi	-
242	to count	tag	taya	tego	taggang	rekeŋ	ta?ana (also 'read')	gəlɪk	galeki	halakda 	galek	galiiki	geleki	-
243	one	nuk	nuku	nuko	"anuku, ye"	nu	nu	nʊk	nuku	nuku	nok	sundaŋ	no	*nuk
244	two	raq	raku	raxo	alaku	aru	a:lu	ərʊk	oruku	ayoku	ok	yaku	yoku	*araqu
245	three	yerig	sagu	utug	atiga	tue	towo	toŋ	siwa	suo	su	tuo	tu	-
246	four	uut	utu	ut	atu	butá	wut	ʊt	usa	buti	biat	araasiiku	arasoku	-
247	five	yusan	yisin	isin	yasing	yisiŋ	iwEhEN	əwəh	yesan	yeting	iwesing	yootiŋ	weting	*yiwesin
248	six	tiaam	tiama	tiam	hisnakkung	taliŋ	ta:laN	təlɑn	talama	taˈlama	isingnok	yooyiŋsuno	weting nung	*talam
249	seven	yesraq	sraqo	yesraxo	betalaku	titu	wuito?	usoŋ	yesoruk	yeting ayoku	isingok	yootiŋyaku	weting yoku	-
250	eight	yesnerig	stagu	yentug	beatiga	tuaʔaru	turlo?	tɪdərʊk	tad usa	yeti suo	isingsu	yootiŋtuo	weting tu	-
251	nine	yesno'ut	isi'utu	yeni ut	anuktannang	tornu	ti?inu	tʊkɑinʊk	yesan usa	yeting buti 	isingbiat	yotraasiiku	weting arasoku	-
252	ten	qar nuk	qa nuk	xar nuko	keanuku	arnu	airnu	kɑrənʊk	karnuku	kar nuku	ataak	adaaku	adayoku	-
253	eleven	qaar nuk rug nuk		xar nuk beti nuko	keanuku wali ye	ar nu betal nu	airnu waliNu	up kar nuk wa nuk	karnuk wail nuku	kar nuk wal nuku	waal		adayoku weresing no	-
254	12			xar nuk beti raxo	keanuku wali alaku	ar nu betal aru	airnu waliNalu		karnuk wail arok	kar nuk wal ayoku			adayoku weresing yoku	
255	13				keanuku wali atiga	ar nu betal tue	airnu waliN towo		karnuk wail siwa	kar nuk wal suo			adayoku weresing tu	
256	twenty	qar raq	karraku	xar raxo	kealaku	ariaru	airialu	kɑrərok	kararoku	kar ayoku		adaaku-maraku	adayoku miyoku	
257	21			ratu nuko	kealaku wali ye	ariaru betal nu	airalu waliN nu		kararoku wail nuku	kar ajok wal nuku			adayoku miyoku weresing no	
258	thirty				keatiga	ar tue	air towo?		karsiwa	kar suo			adayoku mitu	
259	one hundred	ratu nuk	rat nuku	ratunuko	ratu	ratu nu	ratnu	ɛskɑnʊk	asaga nuku	ajsahanuku		asaka	aska no	
260	123	ratu nuk kar raq rug yerig	ratu nuku kar quai tagu	ratu xaraq beti utug	ratu kealaku wali atiga	ratu ariaru betal tue	ratnu airalu waliN towo		asaga nuku kararoko wail siwa	ajsaha nuku kar ayoku wal suo			aska no adayoku miyoku weresing tu	
261	two hundred				ratu alaku	ratu aru	ratalu		asaga aroku	ajsaha ajoku			aska yoku	
262	thousand	ribu nuk	ribu nuku	ribu nuko	ribu ye	ribu nu	ribnu		rabnuku	rifi nuku			ribu no	
263	one hundred thousand 		salaka nuku 		sanlak	salák ‘one million’	rib ratnu		ribasaganuku	rifi ajsaha nuku			ribu askano	-
264	big	waad	ada	waado	ara	le	ma:ti	ɑɑl	batakel	foko	baai	waansa	pidasi	-
265	small	sam	samma	kiki	kalla	kodduk	ka?ai	kɛkɛin	kadín	kiding	kiding	pike	murung	-
266	"old, worn"	ana'	tulagi	ugam	kassa	luŋ	?EmE	məlot	(ou) malota	(tofa) makila	farata	makiila	lmang	-
267	new (house)	wudesin	sava'a	sibo	sabi'a	hiba	habara?	həbɑɑ	(ou) saba	(tofa) tifa	supaka	tipea	tpa	*sabia
268	old (people)	keri 'old man'	bamma (old man)	boom 'old man'	"madda, wenang 'old man'"	boma ‘old man'	tuma?a	kulwɪn	kakaleta	fingkang	saak	saaku	saku	-
269	young (people)	boog	bogga	kunang	bogga	"kuar ‘young man’, jauŋ kenewiŋ ‘young woman’"	"awololo 'young man', lawata 'young woman'"	boŋhɛp	"kabol manak, mei manak"	abeti	"fon, lutei"	pulara	seper	-
270	lazy	gaxduk	qaviyaqa	muut	massa	pəloit	"mara?an (more permanent), lahunu 'lazy' (less permanent, as someone who has already worked, but feels lazy to work more)"	"klem (adj), knoh (noun)"	kalikin	ˈkiliki	mi- -kailan	daalang	dalang	-
271	hot	og	agga	waar	tawaka	bára	buni?	tut	sanama	ˈlila	beba	emala	tutung	-
272	cold	qi'aw	maxavu	qaiwo	maba	jevi	ma?ab	məhɪŋ	"kabuk, palata"	palata	faatei	wiri	wir	-
273	good	qaw	qawa	xowo	akku	auŋ	no?o	nok	noka	kang	kang	kaaŋ	kang	-
274	bad	yaas	yeci	yaaso	yasa	jasi	"ari?iN, saha 'broken', no?o daN 'not good'"	mʊjɑh	noka nanga	beaka	boko	yaati	boli	*yasi
275	full	wal	walla	guali	hawaya	meviŋ	wutulu	umii	awei	vemidi	awila	"tutiwo, saaba"	awe	-
276	empty	hasak		isik	hakkas	osiŋ		ikʊh	marés	taka	saka	siira		*hasak
277	wet	qalo'	maleca	xolo	hubba	menésa	"har (also 'fall, as a ripe fruit')"	jɛl	rik	joka	parang	pareekaŋ	yeres	-
278	dry	siis	cici	siso	sisa	táta	ta?ata	təkɑt	takata	takata	auka	aruko	aruk	-
279	long	tiyan	tenu	lelum	tiana	véniŋ	low	lɑɑŋ	naban	lohu	lapang	lamu	luimukul	-
280	short	tuk	mo'ong	amayo	tukka	netukaŋ	lama	"uqur, ur, tuk"	gei tuk	bui	maruk	tukuda	tuk bobol	
281	tall	aluxun	liawang	leso	butang	məlolu	lawen	"lang, odol"	gei naban	lohu	lapang	ayaang	eang	-
282	short	tuk	tukku	tuko	tukka	tukaŋ	to?oN	ʊʔʊr	tuk	bui	maruk	tukuda	tuk	*tuk
283	thirsty	nom siis	gama ha cicici (he's thirsty)	taman siso	taume sissang	təmeen tata	dolo ta?ata		eer nemen takat	rehekda 	-mantei		temuing ser	
284	hungry	nan tiyaq	hilling (he's hungry)	(tang) bili bai	tas massa 	tawan mənápal	malEhiN	"eleng, mdol"	malap	mirai	-maitang	-masin	tamsing	-
285	dark	qa'an	qaana	saali	patta	kamalu	"paraN 'dark (general) e.g., if the light goes out', di lu?u 'dark (of night)'"	kərɑŋ	mitakuna	akuni	ituta	iduni	wuding	
286	light	wul	dia	wilo	diala	víla	filiN	blok	aya	sierai	liwang	"dalaang, ilo, madala"	eyakal	-
287	dirty	blaqas	blaqqas	qaasi	ana	kərítak	karo?o	mʊʊk	maakan	dakung	tini	makaŋ	makang	-
288	clean	musuay	blela	sibo	lera	mulaŋ	maduluN	"abang 'clean for yard', baak 'clear, of grass', gnai, mhol, nai, "	nalin	sani	bila	ineali	inali	-
289	sharp	maxan	maxang	magang	maggang	maŋ	hudiN	mɑŋ	mangan	bula	bising	madiiraŋ	plit	-
290	blunt	pulu	itta	kumai	mukka	kumbul	kumuN	kʊm	toup	toping	bul	paka	pak	-
291	heavy	suxur	sula	tamaado	sulla	təmádi	tarowi	təkor	sowora	tuhai	suu	tiyerra	tuwur	-
292	light	wul		leero	diala	jára	filing	iwil	geloga	"falaka, weria ‘midday’"	seila	"ayaakal (light), seelara (very light)"		-
293	straight	xana'	qunna	molo'	lamura	móloŋ	"abulu? 'straight, true'"	nəmʊt	dob	mulang	sol	"tiimu, loor"	lor	-
294	wide	təlaag	adda (also large)	waado 	salala	lára	bErEN	ɑɑl	aka	tilesing	sileising	padaakara	pedakar	-
295	narrow	tabug	sama (also small)	tubugis	tapugi	kərúbo	kapuh	təpʊɪh	tadukun	karia	katina	"iwuto, takaataŋ"	iwuit	-
296	correct	quun	qunna (also straight)	quuno	mita	etibí		ebeen	adobu	rofi	sol	"kaaŋ, taapi"	lor	-
297	wrong	gəsay	təmici	gasaying	bekkang	hála	?ahala?		tabela	hasala	taweng	tabiila	tebel	-
298	ripe	muban	kará	"yira, teno, xaro' 'cooked'"	dala	téna	"tEnE 'ripe, red'"	ətɛn	tain	sani	iten	itiina	lus merek	*ten
299	rotten	muun	gamini	mino	"baratta, bulla"	misa	boni	mʊin	beik	hamuni	munta	tamasa	sikeng	*mun
300	bitter	maxa'	miyara	maqo	ku minna	kamála	ma?ala?	mkal	makala	makali	makaa	makal	makal mukup	-
301	sweet	wub	uba	maraaq	hige	teŋge	"dElEwEN, manEmE? 'tasty'"	"dre, mel"	dalowan	ralong	ilakai	maalang	malang	-
302	sour			kelikil	lila	kəlíkil		olor	alau	alesing	aleesei	sakar		-
303	salty	masil			"luar, makara"	kəmála		mkal	masela	alesing	tama makaa	aumo		
304	flat	hawan	esama	biiro	palaka	bira	haloi	bʊʊr	talola	taluola	silela	"kalata, tarisi"	lat teris	-
305	smooth	sordax 'slippery'	bifi (slippery)	"ibayaran'smooth', iduyo 'slippery'"	duba	dúla ‘slippery’	dulu?	duul	dula	rula	tulaka		terisi dolok	*dul- 'slippery'
306	rough	sakar	"aradda (rough, of a person)"	sekakir	katáng-katáng	koŋkarkoŋkar	paluhu		dula nanga	ahoifang	aooba		potor	-
307	thick	tu'um	ponuuta	pauso	dumma	pusi	tapaha	təpɛh	tapás	tapati	kusa	dumu	dum	-
308	thin	taxal	seling	teki	re'e	teil	ti?i		bol	foli	manih	manise	minis	-
309	"sick, painful"	i'	lila	ii	tawaka	dira	modi?	"biir (sick), klik (hurt), mkal"	terík	"ha-rik, na-rik"	mat-	mate	medit	-
310	"shy, ashamed"	arar	apala	eriyay	pali	"məníyaŋ, tawabilil"	mala?		manian	"ta-milelai, na-milelai"	-laita		neladi ('saya malu')	-
311	black	qa'an	qana	xano	ana	kána	la?ana?	ɑʔɑkɑn	akana	akani	dakata	akana	akeng	*aqana
312	white	miyaq	miyaqa	miyeqo	miaka	məjá	wElE?	ɑʔɑjɑl	bela	kuli	bila	siila	muruk	-
313	red	ii'	i'i	ii	i'a	bibi	tEnE	kɪkik	ika	kik-	bika	ike	iki	-
314	green	ajogar	weyaga weyaga	oyogi	haluaga	koakoá	leu	wəwɛlɛŋ	kalukul	walangai	waai	walaŋara	walar	-
315	blue				haluaga	koakoá		wəwɛlɛŋ	aruya	walangai	waai	walaŋara	wolar woding	
316	yellow	baxari	baxori	bagari	bugga	bóri	ba?oi	bʊbʊgɔr	bagura	adeʔsani	maleta	mareeka	merok	-
317	blind	get yaas	gata babi	maraa	baddang	"eʔeŋ jasi (lit., ‘bad eyes’), neʔeŋ moró (lit., ‘foggy eyes’)"	ma:ru	gɛnjɑh	gen baka	akuta	bita	bola	nemir ko boli	
318	deaf	guwar qulus	gola kwanga	qolus	kullu	kəmuke/kmuke	pala?a	gəwɛrkəkʊi	gewel kakuil	"kuri, ha-wei beaka (lit., ‘ears not good’)"	uh	muko	neweri mokol	-
319	to see	bəli	bili	lalo	ganiaka	teiŋ	dunu?	gəur	guui	"herei, da nerei ‘he sees me’"	-tak	gadea	gedir ('lihat dia')	-
320	to hear	wuraq	watti	waati	haloapi	veŋ-me	?alEpEN	məgɪh	magí	mahia	-mai	mayiiŋ	lewosi	-
321	to smell	gaxmin	gamini	gagam	tilli	"mimiŋ ‘smell’, miku ‘kiss’"	?umuniN	gəmoin	gumun	monungra	-musan	gamusa	muing	-
322	to think	wago wan hom mai	amigraga	tomeyo	timbar	ukur	tanut	kirkir	kira-kira	tomipang	-king suuk	gawaawaŋ	newamal ('saya pikir')	-
323	to know	wankruwan	kəlala	lalo	kalalang	veŋ-kruaŋ	ahOl	gɛl	magí	"nohiena ‘I know’, ohiena ‘you know’"	lak	gite	leteng	-
324	dream	ayivar/wanjivar	va	ipar	hippe	yipár	pei	eper	punei	pieila	-foi		wormai	*hipar
325	lie down	unti'	ta'a	tee	ti'ang	tiaʔ	"mopo, tara"	tɑɑ	"ta, ti mop migadobi"	ta	taa	gate	netai ('saya baring')	*tia
325	lie down	unti'	ta'a	tee	ti'ang	tiaʔ	"mopo, tara"	tɑɑ	"ta, ti mop migadobi"	ta	taa	gate	netai ('saya baring')	*tia
326	to sleep	unti'	ta'a	tee	ti'ang	tiaʔ bena	tara	moop	ta	ta	taa	gate	netai ('saya tidur')	
327	to wake up	tup	sira	taso	natianing	tai	tohO	mətɛh	tir	na-ruda   ‘I get up’	-serang	gasire gamiti	asir amit	
328	to wake s.o up	gosoy ilan tup	gətani	geteno	gatipping	aiŋ miar	ahowo tuhu	gətɛŋ	gamisi	nan haruda ‘I wake him/her up’	-tan	gapi gasire gamiti	geteing	*-ten
329	sit	miis	misi	miso	mising	miŋ	mihi?	mɪh	misa	miti	nih	miti	amit	*mis
330	stand	taas	tasi	taso	natar	tai	tohO	mətɛh	nasan	nate	latsi	dooka	atati (tetati 'kita berdiri')	*tas
331	squat/crouch	tuku	lualang	toku	lukking	"kuku mudiŋ (lit., ‘knee plant’)"	"li?i?, kukudut"		luk	luk ˈbo	duuh		lukuk	*luk(V)
332	to walk	"tewar 'to walk', lam 'to follow'"	aya apa	amar	lama	lamar	lami	gɛpunlɑm	lak	"lak, lol"	"loo, maa"	loola	lailol	-
332	to walk	"tewar 'to walk', lam 'to follow'"	aya apa	amar	lama	lamar	lami	gɛpunlɑm	lak	"lak, lol"	"loo, maa"	loola	lailol	-
333	run	biir	biri	biiro	biring	bi	tE?EN	təkɪn	taki	furei	tak	gamuri	nemur ('saya lari')	-
334	swim	taran	talang	taro	tallang	tára	?ur	urɛn	tantai	"teula, na-teula"	sai	se	sai	-
335	fly	jiran	jila	jiro	hilang	líri	lili?	liir	lir	liʔ	lila	iriŋ	ire	*yira(n)
336	fall (from above)	ba'	ba'a	ba sero	tasing	ba héra	mudi	mʊŋ	muk sei	"ditahai ‘fall from above’, da-kuila ‘fall’"	mu’tan	taani	taing	-
337	fall over	taxa'	axoxi	taxa	baulung	"belí, lavák"	olo?	tkos	takoki	da-kuila	kok		podo	-
338	to drop	ma moxod	mora	gabang	muggung	lolaŋ hera	amudi	nəgɑnukgəmuŋ	gatain sei	na haliéhai	mota	ligataani	gepai taing	-
339	to bathe	wei	noya (I bathe)	tuweyo	-ulang	véla	wili (voiceless w)	nɛwɛl	weli	 da-wel	-wei	gawile	ira teweli	*weli
340	to bathe a child	maguwei	goya	guweyo	gaulang	(keniŋ) vela	?ei awili	ulgəwɛl	gaweli	Markus ha-wel ‘wash Markus’	-wei	gawile	olpok ira geweli	
341	to wash	wanbli	bugi (wash clothes)	wangwa	laming	naʔ bei	la:m	ɪluwɛl	utti	luok	sire	"saku, balasa"	lesi	-
342	to cook	dau	dawa	na-dowo	tang migang	na doa	dowo?	ɑdɑpu	ar eri	made	taam	maaŋ	mad ira	-
343	to drink	hufa'	wa'a	yir na	ba'ai	jar na	na?	nɑɑʔ	nai	buk˺  	ne	ganee	ira tenai	*nai
344	to eat	ina	ina	na	na	na na	adi?	məhɑk	manám	ne	na	"ganee, gapaati, gapama"	tenai tepasi	*nai
345	chew	krai	karaci	xrayo	gammu	mame	?o?oN	umanain	umu tak	take	se		lemang	-
346	to suck	pu'	duma	tubo	pu'ung	kənúmu	dutu?	modoih	duup	marek˺	mak	ganee	muduli	-
347	to blow	puy	puya	gupuyo	"puyang, pussa, pusakai"	upú	apa?u	"ihin, pu"	gamús	muk˺	-subau	"gapulo, liiwuŋ"	usasi	-
348	to spit	puran	maliplum	purang	tuppung	puruŋ	"may, atamay 'saliva'"	pərʊin	puring	puina	supui	irumpakka (n)	uring kra	*purVn
349	to vomit	jigar	kala'a	g-igir	kale'e	yída	wudi (voiceless w)	ɪŋ	karí	iu	-iwei		mokor	-
350	yawn	xaxar	alaw ga'a supi	agur		ayloy	"alowo alawuhu (voiceless /w/ in /alowo/), /?a?an baliN/ 'sigh'"	mɛtɛ́k	agú	ahau	awak		awaki	-
351	rub	tood	tudu	"todo 'rub, as bathing', osong 'rub, as oil into skin'"	si'ang	osoŋ	luhu? (also 'wipe')	ɔi	ulús	weluuk	luh	"aroosa, puso"	araos	-
352	scratch	kikar	tua	"krabis, tuu"	"baraggas, karasi"	tuá	tu?u?	kəbɛr	ukuberi	kafi	faki	"suruku, kapari"	kepir	-
353	itchy	qa:q	qaqa	xaxo	kaka	káka	kaka?	ka:k	rok	jokung	ilukui		iruk	-
354	swell	wuran	wara	waro	halua	vára	fala?	uwɑr	bati	we-patia	fasi- 	atuŋ	atu	-
355	wait	warah	graani	garing	walang	ʔadiŋ	?adana	"emei, lel, wrep"	amante	"here, ne-re"	-reide	waaka	"legadar ('tunggu, jaga')"	-
356	sew	tap	tappa	səroto'	tappang	rótaʔ	naroto?	ilhərot	serót	kapuk˺	kafuh	sorra	"sor ('jahit'), suai ('tusuk')"	-
357	to fold	gəfilax	poya	bliko	"paukung, lukking"	lepét	pali?i	"gdim, klat, pal"	galúk	haluk˺	tapoo	-kupi	pod awuli	-
358	to give	gəmiyan	ma-gena	megeng	gania	meʔenaŋ	?EnE?	gɛn	"gei, gana"	"hede, minede ‘give me’"	me –n	garani	wa genir	*-ena
359	help	gunmola	gomoli	mulag		aiŋ moliŋ	?ukaraN	"her, moi, moil"	gomoni	netulung ‘bantu saya’	"tolon, buh"	tulong	gemosi	-
360	wipe	aap	api	apo	"lui, yabbi"	hapo	luhu?	mɪlʊr	basan	we-luuk	luh	saara	lipu	-
361	to come	"ariaya', ma"	"da, ma"	ma	ma	ma	"ma 'to come, lEmma?,  /lami lElE?/ 'come from above'; /lami madaN/ 'come from below'; /fa?/ 'go'; /lami fa?/ 'go' (walk go, more common); /lami midi/ 'go up'"	"ma, ɑd"	"mai, marán"	me	"me, sue"	me	amai	*mai
362	"burn, shine"	dee	yi'a	dee	war	ade	tub	gopɛ	gei	hiede	saara	"waka, laata"	dali lur	*Vde
363	shine	liar			diala	bolor	tub	idil	suul	tulung	wobika	"mataani (light), soolang (shine)"	dial lur ?	-
364	burn (clear land)	maxar dee'	ila dana	orong dee	haddi	bil ede	dil tub		arai	arade	midii		pur tak	
365	dry in sun	mawudan	wadora	poring	puaring	póriŋ	fEd poi	ʊpur	ber garain	tek	-sak	po:pɒrɔ (not quite dry)	lewidilei	*por
366	"search, hunt for"	wuraq	lafi	rapo	gallang	rapiŋ	la:p	əlɛl	gorap	tahai	-faafa	laawa	lewena	-
367	chase away				galu	teri			gapateri	he-tie	fanenee			
368	"chase away, expel"	gətiar	getiala	getero	"gabuttir, galu"	"teri, sika ‘sound to shoo a dog’, bura ‘sound to shoo a chicken’, sambe ‘sound to shoo a goat’"	arlili	lobei	"gapateri, galur"	"he-tei, ha-loi"	"fanenee, -sorot"	"tiira, diila"	"milakal ('usir'), gapanter ('kejar')"	*tiara
369	to cut	taxa'	taxana	pətako	lu'ung	"parás ‘cut’, toniŋ ‘slice’"	tafE?E 	gəbok	garoit	ha-wek	batat	"waaka, sumo"	gepesi	-
370	to cut down	goor	bubu	goro	bailang	hibá	?abo?oi	hban	kob	tukong (tukoong ‘to work’)	bui		koli	-
371	to split	qas	bəlapa	gaxasi	bakung	kay	adid	hol	keni	kadel	karei	kadali	kedeli	-
372	to divide	paxai	peci	qanang	daai	hurak	?aba?aN	"gbak, gwai (divide evenly)"	gawali	yeng	kabih	"bakaara, saawang, yoosara"	bakár	-
373	stab	tap	tappa	qaxo	garung 'to plant'	jawak	"tE?E 'to stab, to plant, to cut'"	tɛk	"tak 'to plant', "	"takda 'to plant', tilok 'to stab'"	tafe	suwe	suai	-
374	to fight	təfeo	pakki	tabayung	takkang	tóta	"sariN bini (lit., each other fight)"	tɛic	taburin	"taluk, kawai"	taaka	takitaaka	takawai	-
375	to guard	wanboxon	ta'uli	bukang	baukang	gəréyaŋ	?ubu?uN	"buuk, toot"	golela	"weree, fukong"	pukan		lagadar	*bukan
376	scared	arar	te'i	rexo	"hundar, pali"	dádi	baruc	edɑn	tamén	mielang	-biee	gamiilaŋ	na-umeng ('saya takut')	-
377	angry	om kəlexel	"amdidi (angry feeling), karang (angry action)"	temaaring	arugga	tomilil	ari?iN	"cek, cok, eek, mar, tbak"	ganíngin	teeba	-biee	soorang	nesorong ('saya marah')	-
378	to throw	wantaar	watala	good	kummar	odá	Od	gɔɔd	gor	huor	-tfa	paka	wokor	*-od
379	to dig	xan	janna	ano	hannang	hanaŋ	aluN	ʊrɪn	téri	teu	tee	tii	tei	-
380	to bury	traxa'	pamma	traxo	pammung	tərów	?apat	pot	nuk	nabuk	pidak	luuki	areing	-
381	float	tiri	teri	tering	tera	tediŋ	tEdE?	tətɛd	teebal	tauiti	laka		seli	-
382	to flow	tootan	karári	toto'	salili	totu	tawoi (voiceless w)	təwɛɛl	tewéli	tavel	tawei	wiikala	wekel	-
383	to hold	wanpin	pinni	pino'	pinni	pempiná	?apun	gopʊɪn	gapúna	puna	fun	"gawunni 'hold', punni 'to hit'"	"woing 'to hold', poing 'to hit'"	*pVN2
383	to hold	wanpin	pinni	pino'	pinni	pempiná	?apun	gopʊɪn	gapúna	puna	fun	"gawunni 'hold', punni 'to hit'"	"woing 'to hold', poing 'to hit'"	*pVn
383	to hold	wanpin	pinni	pino'	pinni	pempiná	?apun	gopʊɪn	gapúna	puna	fun	"gawunni 'hold', punni 'to hit'"	"woing 'to hold', poing 'to hit'"	*pVn
383	to hold	wanpin	pinni	pino'	pinni	pempiná	?apun	gopʊɪn	gapúna	puna	fun	"gawunni 'hold', punni 'to hit'"	"woing 'to hold', poing 'to hit'"	*pVn
384	to tie	praat	aafi	pato'	"tiddi, ussing"	"nodaŋ, patar"	?apece?	pɑt	upat	kode	fal	taliŋ	lekoi	-
385	to play	iga'miar	igamoya	mulay	mudali	mumal	ha?or	kukʊi	namoli	muila	kolkol	galaali	nelali ('saya bermain')	-
386	to pull	kiri	kiri	ker	biddi	avak	?abi?iN	gəbɪk	gabik	ha-fik	ileh	gamiikaŋ	gemekeng	-
387	to push	dumar	doba	gətobung	"tumbu, diung"	tobaŋ	ado?o	gruum	gadom	ha-suongra	-sooran	"gabooka, saala"	"gbok, asók, mes"	-
388	to turn	wanpiar	"wagiya, magiya"	dan		ebáŋ	?dimiN	gəwɑr	ugawali	ha-lik-da	miakii	gawaari	migetenuku	-
389	choose	wantray	talaci	təraqo	nuta	hay	tara?a	igin	mi'i	ahia	woii	"ilulung, inising, loomang"	ilemel	-
